antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Age_Middle, ECG_Normal, MaxHR_Low, ExAngina_Yes","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.11702127659574468,0.549645390070922,0.10638297872340426,0.9090909090909091,1.653958944281525,1.0,0.04206277350233892,4.953900709219857,0.44779116465863456,0.18987341772151903,0.7981388690050107,0.5513196480938416
"Age_Middle, ECG_Normal, MaxHR_Low","Slope_Flat, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes",0.14893617021276595,0.4326241134751773,0.10638297872340426,0.7142857142857143,1.6510538641686183,1.0,0.04194960012071827,1.9858156028368792,0.4633333333333333,0.22388059701492538,0.4964285714285715,0.48009367681498827
"Age_Middle, ECG_Normal, MaxHR_Low","Sex_Male, FastingBS_Normal, ChestPain_ASY, Slope_Flat",0.14893617021276595,0.4929078014184397,0.12056737588652482,0.8095238095238095,1.642343268242549,1.0,0.04715557567526785,2.662234042553192,0.45955882352941185,0.2312925170068027,0.6243756243756244,0.5270640630352861
"Slope_Flat, BP_Normal, ChestPain_ASY","FastingBS_Normal, ECG_Normal",0.14893617021276595,0.45390070921985815,0.1099290780141844,0.7380952380952381,1.6261160714285716,1.0,0.04232684472612043,2.085106382978724,0.4524193548387098,0.22302158273381298,0.5204081632653063,0.49014136904761907
"Oldpeak_Moderate, Sex_Male, Slope_Flat, ChestPain_ASY, ECG_Normal","FastingBS_Normal, Age_Middle",0.14184397163120568,0.4787234042553192,0.1099290780141844,0.7749999999999999,1.6188888888888886,1.0,0.0420250490417987,2.3167848699763582,0.44548120501199673,0.21527777777777776,0.5683673469387753,0.5023148148148148
"Age_Middle, ECG_Normal, MaxHR_Low","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.14893617021276595,0.549645390070922,0.13120567375886524,0.8809523809523809,1.6027649769585255,1.0,0.04934359438660027,3.782978723404255,0.4418918918918919,0.23125,0.7356580427446568,0.5598310291858679
"Slope_Flat, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Sex_Male, Age_Middle, FastingBS_Normal",0.15602836879432624,0.4397163120567376,0.1099290780141844,0.7045454545454545,1.602272727272727,1.0,0.04132085911171471,1.8963447899618109,0.44537815126050423,0.22627737226277375,0.47266973532796297,0.47727272727272724
"Slope_Flat, BP_Normal","Sex_Male, ECG_Normal, FastingBS_Normal",0.17375886524822695,0.4078014184397163,0.11347517730496454,0.6530612244897959,1.6014196983141082,1.0,0.042616065590262056,1.7069253233208175,0.4545332618025751,0.24242424242424243,0.4141512892582182,0.46566104702750666
"Sex_Male, Age_Middle, ECG_Normal, MaxHR_Low","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.13829787234042554,0.549645390070922,0.12056737588652482,0.8717948717948717,1.5861042183622829,1.0,0.04455258789799306,3.512765957446806,0.42883079157588966,0.21249999999999997,0.7153240460327073,0.5455748552522746
"Slope_Flat, BP_Normal","FastingBS_Normal, ECG_Normal, ChestPain_ASY",0.17375886524822695,0.40070921985815605,0.1099290780141844,0.6326530612244898,1.5788333032327975,1.0,0.04030229867712892,1.6314026792750196,0.44372144538280495,0.23664122137404578,0.3870305518657168,0.45349467220516526
"ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Sex_Male, Age_Middle, FastingBS_Normal, Slope_Flat",0.1773049645390071,0.39361702127659576,0.1099290780141844,0.62,1.575135135135135,1.0,0.04013882601478799,1.595744680851064,0.4438264738598443,0.23846153846153847,0.3733333333333333,0.44963963963963965
"Slope_Flat, BP_Normal","FastingBS_Normal, ECG_Normal",0.17375886524822695,0.45390070921985815,0.12411347517730496,0.7142857142857143,1.5736607142857144,1.0,0.045244203007896985,1.9113475177304966,0.4412017167381974,0.24647887323943665,0.476808905380334,0.49386160714285715
"Age_Middle, ECG_Normal, Oldpeak_Moderate","Sex_Male, FastingBS_Normal, ChestPain_ASY, Slope_Flat",0.14184397163120568,0.4929078014184397,0.1099290780141844,0.7749999999999999,1.5723021582733812,1.0,0.04001307781298728,2.253743104806934,0.42415355905091984,0.20945945945945948,0.5562937062937061,0.4990107913669064
"Sex_Male, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Slope_Flat, Age_Middle, FastingBS_Normal",0.16312056737588654,0.4326241134751773,0.1099290780141844,0.6739130434782609,1.5577334283677833,1.0,0.03935918716362356,1.7399527186761228,0.4278294149808639,0.22627737226277375,0.4252717391304348,0.4640057020669993
"Slope_Flat, BP_Normal, Sex_Male","FastingBS_Normal, ECG_Normal",0.16312056737588654,0.45390070921985815,0.11347517730496454,0.6956521739130435,1.5326086956521738,1.0,0.039434636084703975,1.7943262411347516,0.4152542372881355,0.22535211267605634,0.4426877470355731,0.47282608695652173
"ExAngina_Yes, Slope_Flat, ChestPain_ASY, MaxHR_Low, ECG_Normal","FastingBS_Normal, Age_Middle",0.1453900709219858,0.4787234042553192,0.10638297872340426,0.7317073170731707,1.5284552845528454,1.0,0.03678134902670892,1.942940038684719,0.40456431535269705,0.20547945205479454,0.48531607765057244,0.47696476964769646
"Age_Middle, ECG_Normal, Chol_High","Slope_Flat, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes",0.16666666666666666,0.4326241134751773,0.1099290780141844,0.6595744680851064,1.5245901639344264,1.0,0.03782505910165486,1.6666666666666667,0.4129032258064517,0.2246376811594203,0.40000000000000013,0.4568364143704221
"Sex_Male, ChestPain_ASY, BP_Stage1, ExAngina_Yes",MaxHR_Low,0.18439716312056736,0.42907801418439717,0.12056737588652482,0.6538461538461539,1.5238397965670694,1.0,0.04144660731351542,1.649330181245075,0.4214833759590793,0.2446043165467626,0.39369326325848064,0.467418944691672
"Sex_Male, Age_Senior, Slope_Flat, ExAngina_Yes",MaxHR_Low,0.17375886524822695,0.42907801418439717,0.11347517730496454,0.6530612244897959,1.522010457075392,1.0,0.03891906845732106,1.6455986649979137,0.4151019313304721,0.2318840579710145,0.39231841805044987,0.4587620172035756
"Slope_Flat, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","FastingBS_Normal, Age_Middle",0.15602836879432624,0.4787234042553192,0.11347517730496454,0.7272727272727272,1.519191919191919,1.0,0.03878074543534027,1.9113475177304955,0.4049369747899159,0.2176870748299319,0.4768089053803338,0.4821548821548821
